"","Rank","Song","Artist","Year"
"54","54","Volare","Bobby Rydelland","1960"
"55","55","A Million to One","Jimmy Charlesand","1960"
"56","56","The Village of St. Bernadette","Andy Williamsand","1960"
"57","57","White Silver Sands","Bill Black's Comboand","1960"
"58","58","The Old Lamp-Lighter","The Brownsand","1960"
"59","59","Devil or Angel","Bobby Veeand","1960"
"60","60","Down by the Station","The Four Prepsand","1960"
"61","61","Forever","The Little Dippersand","1960"
"62","62","Image of a Girl","The Safaris and The Phantom's Bandand","1960"
"63","63","Kiddio","Brook Bentonand","1960"
"64","64","Mission Bell","Donnie Brooksand","1960"
"65","65","I Love the Way You Love","Marv Johnsonand","1960"
"66","66","It's Time to Cry","Paul Ankaand","1960"
"67","67","Tell Laura I Love Her","Ray Petersonand","1960"
"68","68","Mama","Connie Francisand","1960"
"69","69","Footsteps","Steve Lawrenceand","1960"
"70","70","So Sad","The Everly Brothersand","1960"
"71","71","That's All You Gotta Do","Brenda Leeand","1960"
"72","72","Walking to New Orleans","Fats Dominoand","1960"
"73","73","Among My Souvenirs","Connie Francisand","1960"
"74","74","Swingin' School","Bobby Rydelland","1960"
"75","75","A Rockin' Good Way (to Mess Around and Fall in Love)","Dinah Washington and Brook Bentonand","1960"
"76","76","Stairway to Heaven","Neil Sedakaand","1960"
"77","77","My Home Town","Paul Ankaand","1960"
"78","78","Georgia on My Mind","Ray Charlesand","1960"
"79","79","Cherry Pie","Skip and Flipand","1960"
"80","80","Wonderful World","Sam Cookeand","1960"
"81","81","Tracy's Theme","Spencer Rossand","1960"
"82","82","Lady Luck","Lloyd Priceand","1960"
"83","83","Step by Step","The Crestsand","1960"
"84","84","Happy-Go-Lucky Me","Paul Evansand","1960"
"85","85","Young Emotions","Ricky Nelsonand","1960"
"86","86","Dreamin'","Johnny Burnetteand","1960"
"87","87","Poetry in Motion","Johnny Tillotsonand","1960"
"88","88","O Dio Mio","Annette Funicelloand","1960"
"89","89","You Talk Too Much","Joe Jonesand","1960"
"90","90","Beatnik Fly","Johnny and the Hurricanesand","1960"
"91","91","When Will I Be Loved","The Everly Brothersand","1960"
"92","92","Let's Think About Living","Bob Lumanand","1960"
"93","93","Heartaches by the Number","Guy Mitchelland","1960"
"94","94","My Little Corner of the World","Anita Bryantand","1960"
"95","95","Doggin' Around","Jackie Wilsonand","1960"
"96","96","Little Bitty Girl","Bobby Rydelland","1960"
"97","97","Money (That's What I Want)","Barrett Strongand","1960"
"98","98","Stay","Maurice Williams and the Zodiacsand","1960"
"99","99","Lonely Weekends","Charlie Richand","1960"
"100","100","Sandy","Larry Halland","1960"
"101","1","Tossin' and Turnin'","Bobby Lewisand","1961"
"102","2","I Fall to Pieces","Patsy Clineand","1961"
"103","3","Michael","The Highwaymenand","1961"
"104","4","Crying","Roy Orbisonand","1961"
"105","5","Runaway","Del Shannonand","1961"
"106","6","My True Story","The Jive Fiveand","1961"
"107","7","Pony Time","Chubby Checkerand","1961"
"108","8","Wheels","The String-A-Longsand","1961"
"109","9","Raindrops","Dee Clarkand","1961"
"110","10","Wooden Heart","Joe Dowelland","1961"
"111","11","Calcutta","Lawrence Welkand","1961"
"112","12","Take Good Care of My Baby","Bobby Veeand","1961"
"113","13","Running Scared","Roy Orbisonand","1961"
"114","14","Dedicated to the One I Love","The Shirellesand","1961"
"115","15","Last Night","The Mar-Keysand","1961"
"116","16","Will You Love Me Tomorrow","The Shirellesand","1961"
"117","17","Exodus","Ferrante and Teicherand","1961"
"118","18","Where the Boys Are","Connie Francisand","1961"
"119","19","Hit the Road Jack","Ray Charlesand","1961"
"120","20","Sad Movies (Make Me Cry)","Sue Thompsonand","1961"
"121","21","Mother-in-Law","Ernie K-Doeand","1961"
"122","22","Bristol Stomp","The Dovellsand","1961"
"123","23","Travelin' Man","Ricky Nelsonand","1961"
"124","24","Shop Around","The Miraclesand","1961"
"125","25","The Boll Weevil Song","Brook Bentonand","1961"
"126","26","A Hundred Pounds of Clay","Gene McDanielsand","1961"
"127","27","The Mountain's High","Dick and Dee Deeand","1961"
"128","28","Don't Worry","Marty Robbinsand","1961"
"129","29","On the Rebound","Floyd Cramerand","1961"
"130","30","Portrait of My Love","Steve Lawrenceand","1961"
"131","31","Quarter to Three","Gary U.S. Bondsand","1961"
"132","32","Who Put the Bomp (in the Bomp, Bomp, Bomp)","Barry Mannand","1961"
"133","33","Calendar Girl","Neil Sedakaand","1961"
"134","34","I Like It Like That","Chris Kennerand","1961"
"135","35","Apache","J<U+00F8>rgen Ingmannand","1961"
"136","36","Don't Bet Money Honey","Linda Scottand","1961"
"137","37","Without You","Johnny Tillotsonand","1961"
"138","38","Wings of a Dove","Ferlin Huskyand","1961"
"139","39","Little Sister","Elvis Presleyand","1961"
"140","40","Blue Moon","The Marcelsand","1961"
"141","41","Daddy's Home","Shep and the Limelitesand","1961"
"142","42","This Time","Troy Shondelland","1961"
"143","43","(I Don't Know Why) But I Do","Clarence ""Frogman"" Henryand","1961"
"144","44","Asia Minor","Kokomoand","1961"
"145","45","Hello Walls","Faron Youngand","1961"
"146","46","Runaround Sue","Dionand","1961"
"147","47","Yellow Bird","Arthur Lymanand","1961"
"148","48","Hurt","Timi Yuroand","1961"
"149","49","Hello Mary Lou","Ricky Nelsonand","1961"
"150","50","There's a Moon Out Tonight","The Caprisand","1961"
"151","51","Surrender","Elvis Presleyand","1961"
"152","52","I Love How You Love Me","The Paris Sistersand","1961"
"153","53","Ya Ya","Lee Dorseyand","1961"
"154","54","School Is Out","Gary U.S. Bondsand","1961"
"155","55","Mexico","Bob Mooreand","1961"
"156","56","You Don't Know What You've Got (Until You Lose It)","Ral Donnerand","1961"
"157","57","Walk Right Back","The Everly Brothersand","1961"
"158","58","The Way You Look Tonight","The Lettermenand","1961"
"159","59","Moody River","Pat Booneand","1961"
"160","60","One Mint Julep","Ray Charlesand","1961"
"161","61","Take Good Care of Her","Adam Wadeand","1961"
"162","62","Gee Whiz (Look at His Eyes)","Carla Thomasand","1961"
"163","63","Stand by Me","Ben E. Kingand","1961"
"164","64","Spanish Harlem","","1961"
"165","65","It's Gonna Work Out Fine","Ike and Tina Turnerand","1961"
"166","66","Baby Blue","The Echoesand","1961"
"167","67","Baby Sittin' Boogie","Buzz Cliffordand","1961"
"168","68","Hats Off to Larry","Del Shannonand","1961"
"169","69","Those Oldies but Goodies","Little Caesar and the Romansand","1961"
"170","70","The Fly","Chubby Checkerand","1961"
"171","71","(Marie's the Name) His Latest Flame","Elvis Presleyand","1961"
"172","72","Wonderland by Night","Bert Kaempfertand","1961"
"173","73","Bless You","Tony Orlandoand","1961"
"174","74","I've Told Every Little Star","Linda Scottand","1961"
"175","75","One Track Mind","Bobby Lewisand","1961"
"176","76","Angel Baby","Rosie and the Originalsand","1961"
"177","77","Pretty Little Angel Eyes","Curtis Leeand","1961"
"178","78","Think Twice","Brook Bentonand","1961"
"179","79","Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?)","Lonnie Doneganand","1961"
"180","80","Breakin' in a Brand New Broken Heart","Connie Francisand","1961"
"181","81","Mama Said","The Shirellesand","1961"
"182","82","Let the Four Winds Blow","Fats Dominoand","1961"
"183","83","The Writing on the Wall","Adam Wadeand","1961"
"184","84","My Kind of Girl","Matt Monroand","1961"
"185","85","Tonight My Love, Tonight","Paul Ankaand","1961"
"186","86","San Antonio Rose","Floyd Cramerand","1961"
"187","87","Big Bad John","Jimmy Deanand","1961"
"188","88","Good Time Baby","Bobby Rydelland","1961"
"189","89","Rubber Ball","Bobby Veeand","1961"
"190","90","Missing You","Ray Petersonand","1961"
"191","91","Dum Dum","Brenda Leeand","1961"
"192","92","I'm Gonna Knock on Your Door","Eddie Hodgesand","1961"
"193","93","You Can Depend on Me","Brenda Leeand","1961"
"194","94","Let's Twist Again","Chubby Checkerand","1961"
"195","95","Take Five","The Dave Brubeck Quartetand","1961"
"196","96","Are You Lonesome Tonight?","Elvis Presleyand","1961"
"197","97","Sea of Heartbreak","Don Gibsonand","1961"
"198","98","More Money for You and Me","The Four Prepsand","1961"
"199","99","You Must Have Been a Beautiful Baby","Bobby Darinand","1961"
"200","100","Please Stay","The Driftersand","1961"
"201","1","Stranger on the Shore","Acker Bilkand","1962"
"202","2","I Can't Stop Loving You","Ray Charlesand","1962"
"203","3","Mashed Potato Time","Dee Dee Sharpand","1962"
"204","4","Roses Are Red (My Love)","Bobby Vintonand","1962"
"205","5","The Stripper","David Roseand","1962"
"206","6","Johnny Angel","Shelley Fabaresand","1962"
"207","7","The Loco-Motion","Little Evaand","1962"
"208","8","Let Me In","The Sensationsand","1962"
"209","9","The Twist","Chubby Checkerand","1962"
"210","10","Soldier Boy","The Shirellesand","1962"
"211","11","Hey! Baby","Bruce Channeland","1962"
"212","12","The Wanderer","Dionand","1962"
"213","13","Duke of Earl","Gene Chandlerand","1962"
"214","14","Palisades Park","Freddy Cannonand","1962"
"215","15","Breaking Up Is Hard to Do","Neil Sedakaand","1962"
"216","16","Wolverton Mountain","Claude Kingand","1962"
"217","17","Slow Twistin'","Chubby Checker and Dee Dee Sharpand","1962"
"218","18","It Keeps Right On a-Hurtin'","Johnny Tillotsonand","1962"
"219","19","The One Who Really Loves You","Mary Wellsand","1962"
"220","20","Good Luck Charm","Elvis Presleyand","1962"
"221","21","Midnight in Moscow","Kenny Balland","1962"
"222","22","Sheila","Tommy Roeand","1962"
"223","23","Twistin' the Night Away","Sam Cookeand","1962"
"224","24","The Wah-Watusi","The Orlonsand","1962"
"225","25","Peppermint Twist","Joey Dee and the Starlitersand","1962"
"226","26","Break It to Me Gently","Brenda Leeand","1962"
"227","27","Playboy","The Marvelettesand","1962"
"228","28","Ramblin' Rose","Nat King Coleand","1962"
"229","29","Sealed with a Kiss","Brian Hylandand","1962"
"230","30","She Cried","Jay and the Americansand","1962"
"231","31","Don't Break the Heart That Loves You","Connie Francisand","1962"
"232","32","Dear Lady Twist","Gary U.S. Bondsand","1962"
"233","33","Norman","Sue Thompsonand","1962"
"234","34","Love Letters","Ketty Lesterand","1962"
"235","35","Party Lights","Claudine Clarkand","1962"
"236","36","Cotton Fields","The Highwaymenand","1962"
"237","37","Alley Cat","Bent Fabricand","1962"
"238","38","Twist and Shout","The Isley Brothersand","1962"
"239","39","Theme from Dr. Kildare (Three Stars Will Shine Tonight)","Richard Chamberlainand","1962"
"240","40","Tuff","Ace Cannonand","1962"
"241","41","Lover Please","Clyde McPhatterand","1962"
"242","42","I Know (You Don't Love Me No More)","Barbara Georgeand","1962"
"243","43","Young World","Ricky Nelsonand","1962"
"244","44","Baby It's You","The Shirellesand","1962"
"245","45","Speedy Gonzales","Pat Booneand","1962"
"246","46","A Little Bitty Tear","Burl Ivesand","1962"
"247","47","Crying in the Rain","The Everly Brothersand","1962"
"248","48","Al di l<U+00E0>","Emilio Pericoliand","1962"
"249","49","Shout! Shout! (Knock Yourself Out)","Ernie Marescaand","1962"
"250","50","What's Your Name","Don and Juanand","1962"
"251","51","Smoky Places","The Corsairsand","1962"
"252","52","Having a Party","Sam Cookeand","1962"
"253","53","Green Onions","Booker T. and the M.G.'sand","1962"
"254","54","You Don't Know Me","Ray Charlesand","1962"
"255","55","Sherry","The Four Seasonsand","1962"
"256","56","Johnny Get Angry","Joanie Sommersand","1962"
"257","57","Can't Help Falling in Love","Elvis Presleyand","1962"
"258","58","Shout","Joey Dee and the Starlitersand","1962"
"259","59","Rinky Dink","Dave ""Baby"" Cortezand","1962"
"260","60","Moon River","Henry Manciniand","1962"
"261","61","Ahab the Arab","Ray Stevensand","1962"
"262","62","Things","Bobby Darinand","1962"
"263","63","(The Man Who Shot) Liberty Valance","Gene Pitneyand","1962"
"264","64","You Belong to Me","The Dupreesand","1962"
"265","65","Dream Baby (How Long Must I Dream)","Roy Orbisonand","1962"
"266","66","Snap Your Fingers","Joe Hendersonand","1962"
"267","67","Lovers Who Wander","Dionand","1962"
"268","68","Let's Dance","Chris Montezand","1962"
"269","69","Cindy's Birthday","Johnny Crawfordand","1962"
"270","70","You Beat Me to the Punch","Mary Wellsand","1962"
"271","71","You'll Lose a Good Thing","Barbara Lynnand","1962"
"272","72","Uptown","The Crystalsand","1962"
"273","73","Everybody Loves Me But You","Brenda Leeand","1962"
"274","74","Patches","Dickey Leeand","1962"
"275","75","Venus in Blue Jeans","Jimmy Clantonand","1962"
"276","76","Love Me Warm and Tender","Paul Ankaand","1962"
"277","77","Teen Age Idol","Rick Nelsonand","1962"
"278","78","She's Got You","Patsy Clineand","1962"
"279","79","Dear One","Larry Finneganand","1962"
"280","80","Her Royal Majesty","James Darrenand","1962"
"281","81","Old Rivers","Walter Brennanand","1962"
"282","82","Funny Way of Laughin'","Burl Ivesand","1962"
"283","83","A Swingin' Safari","Billy Vaughnand","1962"
"284","84","Tell Me","Dick and Dee Deeand","1962"
"285","85","PT-109","Jimmy Deanand","1962"
"286","86","Little Diane","Dionand","1962"
"287","87","Percolator (Twist)","Billy Joe and the Checkmatesand","1962"
"288","88","Twist, Twist Senora","Gary U.S. Bondsand","1962"
"289","89","Twistin' Matilda","Jimmy Souland","1962"
"290","90","Gravy (For My Mashed Potatoes)","Dee Dee Sharpand","1962"
"291","91","Walk on the Wild Side","Jimmy Smithand","1962"
"292","92","Soul Twist","King Curtisand","1962"
"293","93","I'll Never Dance Again","Bobby Rydelland","1962"
"294","94","I'm Blue (The Gong-Gong Song)","The Ikettesand","1962"
"295","95","Where Have All the Flowers Gone?","The Kingston Trioand","1962"
"296","96","(Girls, Girls, Girls) Made to Love","Eddie Hodgesand","1962"
"297","97","Town Without Pity","Gene Pitneyand","1962"
"298","98","If I Had a Hammer","Peter, Paul and Maryand","1962"
"299","99","I Wish That We Were Married","Ronnie and the Hi-Litesand","1962"
"300","100","Surfin' Safari","The Beach Boysand","1962"
"301","1","Surfin' U.S.A.","The Beach Boysand","1963"
"302","2","The End of the World","Skeeter Davisand","1963"
"303","3","Rhythm of the Rain","The Cascadesand","1963"
"304","4","He's So Fine","The Chiffonsand","1963"
"305","5","Blue Velvet","Bobby Vintonand","1963"
"306","6","Hey Paula","Paul and Paulaand","1963"
"307","7","Fingertips <U+2013> Part 2","Little Stevie Wonderand","1963"
"308","8","Can't Get Used to Losing You","Andy Williamsand","1963"
"309","9","My Boyfriend's Back","The Angelsand","1963"
"310","10","Sukiyaki","Kyu Sakamotoand","1963"
"311","11","So Much in Love","The Tymesand","1963"
"312","12","Puff, the Magic Dragon","Peter, Paul and Maryand","1963"
"313","13","Blowin' in the Wind","","1963"
"314","14","Wipe Out","The Surfarisand","1963"
"315","15","I Love You Because","Al Martinoand","1963"
"316","16","Wild Weekend","The Rebelsand","1963"
"317","17","You're the Reason I'm Living","Bobby Darinand","1963"
"318","18","Walk Like a Man","The Four Seasonsand","1963"
"319","19","Mockingbird","Inez and Charlie Foxxand","1963"
"320","20","I Will Follow Him","Little Peggy Marchand","1963"
"321","21","Pipeline","The Chantaysand","1963"
"322","22","Surf City","Jan and Deanand","1963"
"323","23","It's My Party","Lesley Goreand","1963"
"324","24","Blame It on the Bossa Nova","Eydie Gorm<U+00E9>and","1963"
"325","25","You Can't Sit Down","The Dovellsand","1963"
"326","26","Heat Wave","Martha and the Vandellasand","1963"
"327","27","Denise","Randy and the Rainbowsand","1963"
"328","28","Walk Right In","The Rooftop Singersand","1963"
"329","29","If You Wanna Be Happy","Jimmy Souland","1963"
"330","30","If I Had a Hammer","Trini Lopezand","1963"
"331","31","Easier Said Than Done","The Essexand","1963"
"332","32","Ruby Baby","Dionand","1963"
"333","33","Our Day Will Come","Ruby and the Romanticsand","1963"
"334","34","Hello Stranger","Barbara Lewisand","1963"
"335","35","Be My Baby","The Ronettesand","1963"
"336","36","South Street","The Orlonsand","1963"
"337","37","Days of Wine and Roses","Henry Manciniand","1963"
"338","38","The Monkey Time","Major Lanceand","1963"
"339","39","Candy Girl","The Four Seasonsand","1963"
"340","40","Sugar Shack","Jimmy Gilmer and the Fireballsand","1963"
"341","41","Still","Bill Andersonand","1963"
"342","42","Blue on Blue","Bobby Vintonand","1963"
"343","43","Cry Baby","Garnet Mimms and the Enchantersand","1963"
"344","44","Two Faces Have I","Lou Christieand","1963"
"345","45","Busted","Ray Charlesand","1963"
"346","46","Da Doo Ron Ron","The Crystalsand","1963"
"347","47","Foolish Little Girl","The Shirellesand","1963"
"348","48","Memphis","Lonnie Mackand","1963"
"349","49","In Dreams","Roy Orbisonand","1963"
"350","50","More","Kai Windingand","1963"
"351","51","I Can't Stay Mad at You","Skeeter Davisand","1963"
"352","52","Losing You","Brenda Leeand","1963"
"353","53","Mean Woman Blues","Roy Orbisonand","1963"
"354","54","Our Winter Love","Bill Purselland","1963"
"355","55","I Wanna Be Around","Tony Bennettand","1963"
"356","56","You've Really Got a Hold on Me","The Miraclesand","1963"
"357","57","Sally Go 'Round the Roses","The Jaynettsand","1963"
"358","58","(You're the) Devil in Disguise","Elvis Presleyand","1963"
"359","59","Those Lazy-Hazy-Crazy Days of Summer","Nat King Coleand","1963"
"360","60","Baby Workout","Jackie Wilsonand","1963"
"361","61","Pride and Joy","Marvin Gayeand","1963"
"362","62","Deep Purple","Nino Tempo and April Stevensand","1963"
"363","63","From a Jack to a King","Ned Millerand","1963"
"364","64","Up on the Roof","The Driftersand","1963"
"365","65","What Will Mary Say","Johnny Mathisand","1963"
"366","66","Mama Didn't Lie","Jan Bradleyand","1963"
"367","67","The Night Has a Thousand Eyes","Bobby Veeand","1963"
"368","68","Don't Say Nothin' Bad (About My Baby)","The Cookiesand","1963"
"369","69","Ring of Fire","Johnny Cashand","1963"
"370","70","Just One Look","Doris Troyand","1963"
"371","71","Hello Muddah, Hello Fadduh (A Letter from Camp)","Allan Shermanand","1963"
"372","72","Judy's Turn to Cry","Lesley Goreand","1963"
"373","73","Tie Me Kangaroo Down, Sport","Rolf Harrisand","1963"
"374","74","Fools Rush In","Rick Nelsonand","1963"
"375","75","Washington Square","The Village Stompersand","1963"
"376","76","Donna the Prima Donna","Dionand","1963"
"377","77","That Sunday, That Summer","Nat King Coleand","1963"
"378","78","Another Saturday Night","Sam Cookeand","1963"
"379","79","Painted, Tainted Rose","Al Martinoand","1963"
"380","80","Go Away Little Girl","Steve Lawrenceand","1963"
"381","81","Take These Chains from My Heart","Ray Charlesand","1963"
"382","82","Talk to Me","Sunny and the Sunglowsand","1963"
"383","83","Come and Get These Memories","Martha and the Vandellasand","1963"
"384","84","Do the Bird","Dee Dee Sharpand","1963"
"385","85","It's All Right","The Impressionsand","1963"
"386","86","Shut Down","The Beach Boysand","1963"
"387","87","One Fine Day","The Chiffonsand","1963"
"388","88","Little Town Flirt","Del Shannonand","1963"
"389","89","Fly Me to the Moon","Joe Harnelland","1963"
"390","90","The Reverend Mr. Black","The Kingston Trioand","1963"
"391","91","Hot Pastrami","The Dartellsand","1963"
"392","92","Martian Hop","The Ran-Dellsand","1963"
"393","93","Wonderful! Wonderful!","The Tymesand","1963"
"394","94","Abilene","George Hamilton IVand","1963"
"395","95","Part Time Love","Little Johnny Taylorand","1963"
"396","96","Maria Elena","Los Indios Tabajarasand","1963"
"397","97","Detroit City","Bobby Bareand","1963"
"398","98","Twenty Miles","Chubby Checkerand","1963"
"399","99","Green, Green","The New Christy Minstrelsand","1963"
"400","100","Hey Girl","Freddie Scottand","1963"
"401","1","I Want to Hold Your Hand","The Beatlesand","1964"
"402","2","She Loves You","","1964"
"403","3","Hello, Dolly!","Louis Armstrongand","1964"
"404","4","Oh, Pretty Woman","Roy Orbisonand","1964"
"405","5","I Get Around","The Beach Boysand","1964"
"406","6","Everybody Loves Somebody","Dean Martinand","1964"
"407","7","My Guy","Mary Wellsand","1964"
"408","8","We'll Sing in the Sunshine","Gale Garnettand","1964"
"409","9","Last Kiss","J. Frank Wilson and the Cavaliersand","1964"
"410","10","Where Did Our Love Go","The Supremesand","1964"
"411","11","People","Barbra Streisandand","1964"
"412","12","Java","Al Hirtand","1964"
"413","13","A Hard Day's Night","The Beatlesand","1964"
"414","14","Love Me Do","","1964"
"415","15","Do Wah Diddy Diddy","Manfred Mannand","1964"
"416","16","Please Please Me","The Beatlesand","1964"
"417","17","Dancing in the Street","Martha and the Vandellasand","1964"
"418","18","Little Children","Billy J. Kramer and The Dakotasand","1964"
"419","19","Love Me with All Your Heart (Cuando Calienta El Sol)","The Ray Charles Singersand","1964"
"420","20","Under the Boardwalk","The Driftersand","1964"
"421","21","Chapel of Love","The Dixie Cupsand","1964"
"422","22","Suspicion","Terry Staffordand","1964"
"423","23","Glad All Over","The Dave Clark Fiveand","1964"
"424","24","Rag Doll","The Four Seasonsand","1964"
"425","25","Dawn (Go Away)","","1964"
"426","26","Bread and Butter","The Newbeatsand","1964"
"427","27","It Hurts to Be in Love","Gene Pitneyand","1964"
"428","28","Dead Man's Curve","Jan and Deanand","1964"
"429","29","Come a Little Bit Closer","Jay and the Americansand","1964"
"430","30","A World Without Love","Peter and Gordonand","1964"
"431","31","Have I the Right?","The Honeycombsand","1964"
"432","32","Don't Let the Rain Come Down (Crooked Little Man)","The Serendipity Singersand","1964"
"433","33","Baby Love","The Supremesand","1964"
"434","34","Let It Be Me","Betty Everett and Jerry Butlerand","1964"
"435","35","Wishin' and Hopin'","Dusty Springfieldand","1964"
"436","36","You Don't Own Me","Lesley Goreand","1964"
"437","37","Walk On By","Dionne Warwickand","1964"
"438","38","The House of the Rising Sun","The Animalsand","1964"
"439","39","G.T.O.","Ronny and the Daytonasand","1964"
"440","40","Twist and Shout","The Beatlesand","1964"
"441","41","Memphis","Johnny Riversand","1964"
"442","42","White on White","Danny Williamsand","1964"
"443","43","Hey Little Cobra","The Rip Chordsand","1964"
"444","44","The Shoop Shoop Song (It's in His Kiss)","Betty Everettand","1964"
"445","45","Bits and Pieces","The Dave Clark Fiveand","1964"
"446","46","My Boy Lollipop","Millie Smalland","1964"
"447","47","Um, Um, Um, Um, Um, Um","Major Lanceand","1964"
"448","48","The Little Old Lady (from Pasadena)","Jan and Deanand","1964"
"449","49","Don't Let the Sun Catch You Crying","Gerry and the Pacemakersand","1964"
"450","50","A Summer Song","Chad and Jeremyand","1964"
"451","51","The Girl from Ipanema","Stan Getz and Astrud Gilbertoand","1964"
"452","52","Can't Buy Me Love","The Beatlesand","1964"
"453","53","Remember (Walking in the Sand)","The Shangri-Lasand","1964"
"454","54","C'mon and Swim","Bobby Freemanand","1964"
"455","55","Do You Want to Know a Secret","The Beatlesand","1964"
"456","56","Keep On Pushing","The Impressionsand","1964"
"457","57","Baby I Need Your Loving","Four Topsand","1964"
"458","58","Navy Blue","Diane Renayand","1964"
"459","59","Diane","The Bachelorsand","1964"
"460","60","Out of Limits","The Markettsand","1964"
"461","61","Little Honda","The Hondellsand","1964"
"462","62","Chug-a-Lug","Roger Millerand","1964"
"463","63","See the Funny Little Clown","Bobby Goldsboroand","1964"
"464","64","Because","The Dave Clark Fiveand","1964"
"465","65","(Just Like) Romeo and Juliet","The Reflectionsand","1964"
"466","66","For You","Rick Nelsonand","1964"
"467","67","Today","The New Christy Minstrelsand","1964"
"468","68","Can't You See That She's Mine","The Dave Clark Fiveand","1964"
"469","69","Leader of the Pack","The Shangri-Lasand","1964"
"470","70","Funny How Time Slips Away","Joe Hintonand","1964"
"471","71","The Way You Do the Things You Do","The Temptationsand","1964"
"472","72","Anyone Who Had a Heart","Dionne Warwickand","1964"
"473","73","I Love You More and More Every Day","Al Martinoand","1964"
"474","74","It's Over","Roy Orbisonand","1964"
"475","75","Ronnie","The Four Seasonsand","1964"
"476","76","Surfin' Bird","The Trashmenand","1964"
"477","77","What Kind of Fool (Do You Think I Am)","The Tamsand","1964"
"478","78","The Door Is Still Open to My Heart","Dean Martinand","1964"
"479","79","You Really Got Me","The Kinksand","1964"
"480","80","The Shelter of Your Arms","Sammy Davis Jr.and","1964"
"481","81","I'm So Proud","The Impressionsand","1964"
"482","82","I Wanna Love Him So Bad","The Jelly Beansand","1964"
"483","83","Dang Me","Roger Millerand","1964"
"484","84","Cotton Candy","Al Hirtand","1964"
"485","85","(You Don't Know) How Glad I Am","Nancy Wilsonand","1964"
"486","86","Money (That's What I Want)","The Kingsmenand","1964"
"487","87","Don't Throw Your Love Away","The Searchersand","1964"
"488","88","Hi-Heel Sneakers","Tommy Tuckerand","1964"
"489","89","How Do You Do It?","Gerry and the Pacemakersand","1964"
"490","90","Walk, Don't Run '64","The Venturesand","1964"
"491","91","Do You Love Me","The Dave Clark Fiveand","1964"
"492","92","Shangri-La","Robert Maxwelland","1964"
"493","93","Haunted House","Jumpin' Gene Simmonsand","1964"
"494","94","Steal Away","Jimmy Hughesand","1964"
"495","95","I Saw Her Standing There","The Beatlesand","1964"
"496","96","A Fool Never Learns","Andy Williamsand","1964"
